SERIES_CONTEXT_SCHEMA_VERSION,SEASON,GAME_ID,GAME_DATE,TEAM_A_ID,TEAM_A,TEAM_B_ID,TEAM_B,TEAM_A_WON,game_number,series_score_diff,team_a_series_wins,team_b_series_wins,team_a_elimination_game,team_b_elimination_game,team_a_home,team_a_trailing_series,team_a_leading_series,previous_game_winner,previous_game_margin,team_a_recent_series_wins,team_b_recent_series_wins,team_a_road_wins_in_series,team_b_road_wins_in_series,team_a_home_losses_in_series,team_b_home_losses_in_series
2026-06-11-series-context-v1,2015-16,41500234,2016-05-08,1610612759,SAS,1610612760,OKC,0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2015-16,41500235,2016-05-10,1610612759,SAS,1610612760,OKC,0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0,-14.0,1.0,2.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2015-16,41500236,2016-05-12,1610612759,SAS,1610612760,OKC,0,6.0,-1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,-1.0,-4.0,1.0,2.0,1.0,2.0,2.0,1.0
2026-06-11-series-context-v1,2015-16,41500221,2016-05-01,1610612744,GSW,1610612757,POR,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500222,2016-05-03,1610612744,GSW,1610612757,POR,1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500223,2016-05-07,1610612744,GSW,1610612757,POR,0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500224,2016-05-09,1610612744,GSW,1610612757,POR,1,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-12.0,2.0,1.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500225,2016-05-11,1610612744,GSW,1610612757,POR,1,5.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,7.0,2.0,1.0,1.0,0.0,0.0,1.0
2026-06-11-series-context-v1,2015-16,41500201,2016-05-02,1610612737,ATL,1610612739,CLE,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500202,2016-05-04,1610612737,ATL,1610612739,CLE,0,2.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,-11.0,0.0,1.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500203,2016-05-06,1610612737,ATL,1610612739,CLE,0,3.0,-2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,-1.0,-25.0,0.0,2.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500204,2016-05-08,1610612737,ATL,1610612739,CLE,0,4.0,-3.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,-1.0,-13.0,0.0,3.0,0.0,1.0,1.0,0.0
