model,model_type,calibration_method,train_seasons,test_seasons,feature_set,prediction_context_mode,n_features,features,train_rows,test_rows,accuracy,roc_auc,brier_score,log_loss,precision,recall,f1,expected_calibration_error,bin_index,bin_lower,bin_upper,bin_count,mean_predicted_probability,observed_win_rate,calibration_gap
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,1,0.0,0.1,0,,,
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,2,0.1,0.2,0,,,
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,3,0.2,0.30000000000000004,0,,,
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,4,0.30000000000000004,0.4,0,,,
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,5,0.4,0.5,60,0.4620119096645244,0.36666666666666664,0.09534524299785774
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,6,0.5,0.6000000000000001,52,0.5597830075672799,0.5384615384615384,0.02132146910574151
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,7,0.6000000000000001,0.7000000000000001,54,0.6352522975001308,0.7592592592592593,0.12400696175912851
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,8,0.7000000000000001,0.8,0,,,
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,9,0.8,0.9,0,,,
Extra Trees,Extra Trees,sigmoid,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6826373626373625,0.22991936401758842,0.6520824780354844,0.6509433962264151,0.7582417582417582,0.700507614213198,0.08148076450821061,10,0.9,1.0,0,,,
Logistic Regression,Logistic Regression,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6566265060240963,0.6933333333333335,0.2233101254400379,0.6393862883739342,0.673469387755102,0.7252747252747253,0.6984126984126984,0.060595004593418454,1,0.0,0.1,0,,,
Logistic Regression,Logistic Regression,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6566265060240963,0.6933333333333335,0.2233101254400379,0.6393862883739342,0.673469387755102,0.7252747252747253,0.6984126984126984,0.060595004593418454,2,0.1,0.2,7,0.17913832199546484,0.14285714285714285,0.03628117913832199
Logistic Regression,Logistic Regression,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6566265060240963,0.6933333333333335,0.2233101254400379,0.6393862883739342,0.673469387755102,0.7252747252747253,0.6984126984126984,0.060595004593418454,3,0.2,0.30000000000000004,12,0.2730281027116672,0.4166666666666667,0.14363856395499947
Logistic Regression,Logistic Regression,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6566265060240963,0.6933333333333335,0.2233101254400379,0.6393862883739342,0.673469387755102,0.7252747252747253,0.6984126984126984,0.060595004593418454,4,0.30000000000000004,0.4,16,0.3435349956193837,0.3125,0.03103499561938372
Logistic Regression,Logistic Regression,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6566265060240963,0.6933333333333335,0.2233101254400379,0.6393862883739342,0.673469387755102,0.7252747252747253,0.6984126984126984,0.060595004593418454,5,0.4,0.5,33,0.4471750817745421,0.42424242424242425,0.022932657532117873
Logistic Regression,Logistic Regression,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6566265060240963,0.6933333333333335,0.2233101254400379,0.6393862883739342,0.673469387755102,0.7252747252747253,0.6984126984126984,0.060595004593418454,6,0.5,0.6000000000000001,9,0.5553395785908772,0.5555555555555556,0.00021597696467834382
Logistic Regression,Logistic Regression,isotonic,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6566265060240963,0.6933333333333335,0.2233101254400379,0.6393862883739342,0.673469387755102,0.7252747252747253,0.6984126984126984,0.060595004593418454,7,0.6000000000000001,0.7000000000000001,39,0.6620712823357905,0.6666666666666666,0.00459538433087614
